"DateTime","Average","InnovationCenterPurple FLC - Outdoor A","InnovationCenterPurple FLC - Outdoor B"
"2023-12-08 06:30:00",,0,0
"2023-12-08 06:40:00",,0,0
"2023-12-08 06:50:00",,0,0
"2023-12-08 07:00:00",,0,0
"2023-12-08 07:10:00",,0,0
"2023-12-08 07:20:00",,0,0
"2023-12-08 07:30:00",,0,0
"2023-12-08 07:40:00",,0,0
"2023-12-08 07:50:00",,0,0
"2023-12-08 08:00:00",,0,0
"2023-12-08 08:10:00",,0,0
"2023-12-08 08:20:00",,0,0
"2023-12-08 08:30:00",,0,0
"2023-12-08 08:40:00",,0,0
"2023-12-08 08:50:00",,0,0
"2023-12-08 09:00:00",,0,0
"2023-12-08 09:10:00",,0,0
"2023-12-08 09:20:00",,0,0
"2023-12-08 09:30:00",,0,0
"2023-12-08 09:40:00",,0,0
"2023-12-08 09:50:00",,0,0
"2023-12-08 10:00:00",,0,0
"2023-12-08 10:10:00",,0,0
"2023-12-08 10:20:00",,0,0
"2023-12-08 10:30:00",,0,0
"2023-12-08 10:40:00",,0,0
"2023-12-08 10:50:00",,0,0
"2023-12-08 11:00:00",,0,0
"2023-12-08 11:10:00",,0,0
"2023-12-08 11:20:00",,0,0
"2023-12-08 11:30:00",,0,0
"2023-12-08 11:40:00",,0,0
"2023-12-08 11:50:00",,0,1
"2023-12-08 12:00:00",,0,1
"2023-12-08 12:10:00",,0,0
"2023-12-08 12:20:00",,0,0
"2023-12-08 12:30:00",,0,0
"2023-12-08 12:40:00",,0,0
"2023-12-08 12:50:00",,0,0
"2023-12-08 13:00:00",,0,0
"2023-12-08 13:10:00",,0,0
"2023-12-08 13:20:00",,0,0
"2023-12-08 13:30:00",,0,0
"2023-12-08 13:40:00",,0,0
"2023-12-08 13:50:00",,0,0
"2023-12-08 14:00:00",,0,0
"2023-12-08 14:10:00",,0,0
"2023-12-08 14:20:00",,0,0
"2023-12-08 14:30:00",,0,0
"2023-12-08 14:40:00",,0,0
"2023-12-08 14:50:00",,0,0
"2023-12-08 15:00:00",,0,0
"2023-12-08 15:10:00",,0,0
"2023-12-08 15:20:00",,0,0
"2023-12-08 15:30:00",,0,0
"2023-12-08 15:40:00",,0,0
"2023-12-08 15:50:00",,0,0
"2023-12-08 16:00:00",,0,0
"2023-12-08 16:10:00",,0,0
"2023-12-08 16:20:00",,0,0
"2023-12-08 16:30:00",,0,0
"2023-12-08 16:40:00",,0,0
"2023-12-08 16:50:00",,0,0
"2023-12-08 17:00:00",,0,0
"2023-12-08 17:10:00",,0,1
"2023-12-08 17:20:00",,2,3
"2023-12-08 17:30:00",,1,2
"2023-12-08 17:40:00",,0,1
"2023-12-08 17:50:00",,0,0
"2023-12-08 18:00:00",,1,1
"2023-12-08 18:10:00",,0,0
"2023-12-08 18:20:00",,1,1
"2023-12-08 18:30:00",,0,1
"2023-12-08 18:40:00",,1,6
"2023-12-08 18:50:00",,3,8
